"yr","mo","st","num_tornado","sum_inj","sum_fat","sum_loss","sum_closs"
2010,1,"AL",1,1,0,0,0
2010,1,"CA",6,0,0,3.525,0
2010,1,"FL",4,1,0,3.5,0
2010,1,"GA",1,0,0,0,0
2010,1,"LA",4,0,0,0.1,0
2010,1,"MS",2,0,0,0.54,0
2010,1,"TN",3,0,0,0.05,0
2010,1,"TX",11,0,0,5.535,0
2010,2,"CA",1,0,0,0,0
2010,3,"AL",3,0,0,0.255,0
2010,3,"AR",6,5,1,3.325,0
2010,3,"CA",1,0,0,0.05,0
2010,3,"FL",5,0,0,0.287,0
2010,3,"GA",1,0,0,0.05,0
2010,3,"MO",4,1,0,0.2,0
2010,3,"MS",2,0,0,0.15,0.3
2010,3,"NC",4,5,0,13.85,0
2010,3,"OK",2,0,0,1,0
2010,3,"SC",4,1,0,1.25,0.047
2010,3,"VA",1,0,0,0.015,0
2010,4,"AL",16,52,0,25.41,0
2010,4,"AR",15,23,1,17.253,0.01
2010,4,"CO",23,0,0,0.001,0
2010,4,"FL",3,0,0,0.015,0
2010,4,"GA",2,0,0,1.418,0
2010,4,"IL",4,0,0,0.005,0
2010,4,"KS",12,0,0,0.3908,0
2010,4,"KY",3,0,0,0.034,0
2010,4,"LA",3,162,10,421.035,24.52
2010,4,"MI",1,0,0,0.015,0
2010,4,"MO",19,0,0,1.725,0.061
2010,4,"MS",10,131,10,353.93,23.52
2010,4,"NC",2,0,0,0.27,0.025
2010,4,"NE",1,0,0,0.65,0
2010,4,"OK",1,0,0,0,0
2010,4,"SC",6,3,0,7.17,0
2010,4,"TN",5,0,0,1.226,0
2010,4,"TX",19,3,0,0.578,0
2010,4,"WI",3,0,0,0.13,0
2010,5,"AR",8,0,0,0.53,0
2010,5,"CO",27,0,0,0.084,0
2010,5,"GA",1,0,0,0.075,0
2010,5,"IL",4,0,0,0,0
2010,5,"KS",43,0,0,0.6025,0
2010,5,"KY",8,0,0,0.83,0
2010,5,"LA",2,0,0,0.01,0
2010,5,"MN",2,0,0,0,0
2010,5,"MO",8,0,0,0.579,0
2010,5,"MS",7,16,6,3.745,0
2010,5,"MT",1,0,0,0,0
2010,5,"ND",5,0,0,0.28,0
2010,5,"NE",9,0,0,0.162,0
2010,5,"NM",10,0,0,0.9815,0
2010,5,"OH",6,0,0,0.87,0
2010,5,"OK",92,128,3,6.563,0
2010,5,"SC",3,0,0,0.015,0.01
2010,5,"SD",15,0,0,0.3805,0
2010,5,"TN",14,15,1,10.225,0.046
2010,5,"TX",34,0,0,0.27,0
2010,5,"WA",1,0,0,0.002,0
2010,5,"WI",2,0,0,0.035,0
2010,5,"WY",10,0,0,0.05,0
2010,6,"CO",11,0,0,0.38,0
2010,6,"CT",1,3,0,0.32,0
2010,6,"FL",2,0,0,0,0
2010,6,"IA",27,14,0,7.8,0.027
2010,6,"IL",27,31,1,99.684,0.187
2010,6,"IN",12,4,0,2.923,0.057
2010,6,"KS",18,0,0,0.1125,0
2010,6,"KY",1,0,0,0,0
2010,6,"LA",2,0,0,0.002,0
2010,6,"ME",2,0,0,0,0
2010,6,"MI",15,15,1,64.9,0.01
2010,6,"MN",72,47,3,2.508,0.002
2010,6,"MO",3,0,0,0.01,0
2010,6,"MT",6,0,0,0.299,0
2010,6,"ND",31,1,0,0.275,0.05
2010,6,"NE",21,0,0,0.064,0
2010,6,"NH",1,0,0,0,0
2010,6,"NY",3,0,0,0.125,0
2010,6,"OH",11,28,7,104.549,0
2010,6,"OK",4,0,0,0,0
2010,6,"PA",7,0,0,0.685,0
2010,6,"SD",10,2,0,0.762,0
2010,6,"TN",1,0,0,0.025,0
2010,6,"TX",22,0,0,0.769,0.017
2010,6,"VT",1,0,0,0.025,0
2010,6,"WI",10,16,0,21.778,0.01
2010,6,"WY",4,0,0,0,0
2010,7,"AR",1,0,0,0.005,0
2010,7,"AZ",1,1,0,0,0
2010,7,"CO",4,0,0,0.035,0.01
2010,7,"CT",5,0,0,0.584,0
2010,7,"IA",5,0,0,751.25,0.027
2010,7,"IL",2,0,0,0,0
2010,7,"IN",2,0,0,0.0222,0.0055
2010,7,"KS",4,0,0,0.151,0
2010,7,"LA",1,0,0,0.01,0
2010,7,"ME",3,0,0,0,0
2010,7,"MI",8,0,0,0.266,0
2010,7,"MN",23,0,0,1.0705,0.31
2010,7,"MO",5,0,0,0.0109,0
2010,7,"MT",2,1,2,32.8,0
2010,7,"NC",4,0,0,0.78,0
2010,7,"ND",13,0,0,3.03,0.65
2010,7,"NE",5,0,0,0,0
2010,7,"NY",5,7,0,15.15,0
2010,7,"OK",1,0,0,0,0
2010,7,"PA",6,0,0,0.805,0
2010,7,"SC",4,0,0,0.169,0
2010,7,"SD",10,0,0,0,0
2010,7,"TN",1,0,0,0.2,0
2010,7,"TX",3,0,0,1.505,0
2010,7,"UT",1,0,0,0.025,0
2010,7,"WI",24,3,0,0.686,0.108
2010,7,"WY",3,0,0,0,0
2010,8,"AZ",1,0,0,0,0
2010,8,"CO",6,0,0,0.05,0
2010,8,"FL",5,0,0,0.0635,0
2010,8,"IA",1,0,0,0,0
2010,8,"MD",1,0,0,0.015,0
2010,8,"MI",2,0,0,0.8,0
